個体識別番号,体重測定日,体重,報告
1609112170,2025/4/24,570,
0868482857,2025/4/24,570,
1636947370,2025/4/24,550,
1374326512,2025/4/24,510,
1679435018,2025/4/24,560,
1627013978,2025/4/24,640,
1395502636,2025/4/24,650,
1482215531,2025/4/24,670,
0862636171,2025/4/24,655,
1556363700,2025/4/24,670,
1455016400,2025/4/24,645,
1655824058,2025/4/24,620,
1402128279,2025/4/24,630,
1659233931,2025/4/24,600,
0868510819,2025/4/24,675,
1548507723,2025/4/24,600,
1566414201,2025/4/24,585,
1685210036,2025/4/24,510,
1525620650,2025/4/24,580,
1548812964,2025/4/24,625,
1679426726,2025/4/24,510,
0865770063,2025/4/24,605,
1619366617,2025/4/24,705,
1499114902,2025/4/24,610,
0869226344,2025/4/24,715,
1600612112,2025/4/24,665,
1528915449,2025/4/24,610,
1423422035,2025/4/24,620,
1635309506,2025/4/24,575,
1479714078,2025/4/24,590,
1612385622,2025/4/24,580,
1589215335,2025/4/24,665,
0864601689,2025/4/24,630,
1597814490,2025/4/24,670,
0870377592,2025/4/24,670,
1481617138,2025/4/24,600,
1600612327,2025/4/24,545,
1564158787,2025/4/24,555,
1560310509,2025/4/24,595,
1562211668,2025/4/24,610,
1508616144,2025/4/24,585,
0869876792,2025/4/24,700,
1407965015,2025/4/24,610,
1364242761,2025/4/24,585,
0866964768,2025/4/24,550,
0870038790,2025/4/24,660,
1579513151,2025/4/24,,
1665751986,2025/5/26,680,
1377537083,2025/5/26,612,
1516292620,2025/5/26,665,
1462718892,2025/5/26,665,
1516257599,2025/5/26,725,
1435314090,2025/5/26,690,
1561910371,2025/5/26,780,
1584012342,2025/5/26,720,
1588212465,2025/5/26,600,
1634824123,2025/5/26,680,
1562908797,2025/5/26,725,
1403204699,2025/5/26,690,
1541907100,2025/5/26,700,
1470118882,2025/5/26,605,
0865297997,2025/5/26,740,
0865798470,2025/5/26,770,
0867595152,2025/5/26,700,
1555876515,2025/5/26,785,
1383924976,2025/5/26,740,
0867045213,2025/5/26,588,
1608115127,2025/5/26,645,
1660510267,2025/5/26,720,
1426254206,2025/5/26,715,
1432722843,2025/5/26,660,
1645087470,2025/5/26,710,
1658703268,2025/5/26,625,
1634921495,2025/5/26,690,
1504107387,2025/5/26,780,
1476515753,2025/5/26,640,
1402528499,2025/5/26,750,
1625111423,2025/5/26,660,
1404302721,2025/5/26,705,
1410732680,2025/5/26,762,
1424619595,2025/5/26,760,
1459018288,2025/5/26,800,
1459018240,2025/5/26,825,
1574711019,2025/5/26,770,
1395724236,2025/5/26,745,
1515214753,2025/5/26,730,
1397318044,2025/5/26,590,
1416916985,2025/5/26,630,
1511115610,2025/5/26,640,
0305610881,2025/5/26,680,
1562213280,2025/5/26,690,
1661610300,2025/5/26,590,
1400430305,2025/5/26,610,
1609112170,2025/5/26,600,
0868482857,2025/5/26,590,
1636947370,2025/5/26,555,
1374326512,2025/5/26,580,
1679435018,2025/5/26,560,
1627013978,2025/5/26,655,
1395502636,2025/5/26,680,
1482215531,2025/5/26,615,
0862636171,2025/5/26,630,
1556363700,2025/5/26,680,
1455016400,2025/5/26,680,
1655824058,2025/5/26,660,
1402128279,2025/5/26,680,
1659233931,2025/5/26,650,
0868510819,2025/5/26,725,
1548507723,2025/5/26,640,
1566414201,2025/5/26,615,
1685210036,2025/5/26,525,
1525620650,2025/5/26,585,
1548812964,2025/5/26,695,
1679426726,2025/5/26,560,
0865770063,2025/5/26,665,
1619366617,2025/5/26,750,
1499114902,2025/5/26,640,
0869226344,2025/5/26,775,
1600612112,2025/5/26,715,
1528915449,2025/5/26,650,
1423422035,2025/5/26,685,
1635309506,2025/5/26,545,
1479714078,2025/5/26,630,
1612385622,2025/5/26,590,
1589215335,2025/5/26,650,
0864601689,2025/5/26,645,
1597814490,2025/5/26,690,
0870377592,2025/5/26,700,
1481617138,2025/5/26,615,
1600612327,2025/5/26,545,
1564158787,2025/5/26,580,
1560310509,2025/5/26,650,
1562211668,2025/5/26,695,
1508616144,2025/5/26,660,
0869876792,2025/5/26,745,
1407965015,2025/5/26,640,
1364242761,2025/5/26,580,
0866964768,2025/5/26,615,
0870038790,2025/5/26,630,
0870431621,2025/5/26,575,
1543218112,2025/5/26,610,
