個体識別番号,体重測定日,体重,報告
1530015854,2025/11/25,652,
1492518004,2025/11/25,646,
1669904760,2025/11/25,606,
1432835499,2025/11/25,614,
1542323848,2025/11/25,624,
1491304134,2025/11/25,664,
1374433876,2025/11/25,620,
1409861322,2025/11/25,668,
1613059805,2025/11/25,762,
1639204777,2025/11/25,690,
0872018387,2025/11/25,682,
1620608904,2025/11/25,722,
1658837765,2025/11/25,612,
1650821854,2025/11/25,702,
1488916142,2025/11/25,670,
1469105312,2025/11/25,826,
1453721535,2025/11/25,718,
1531215727,2025/11/25,648,
1448904998,2025/11/25,656,
1576707836,2025/11/25,634,
1546914509,2025/11/25,698,
1604422434,2025/11/25,612,
1606160136,2025/11/25,812,
1661618481,2025/11/25,662,
1527615760,2025/11/25,690,
1377235170,2025/11/25,716,
1406524831,2025/11/25,628,
1644852246,2025/11/25,726,
1668904419,2025/11/25,604,
1374424577,2025/11/25,706,
1354897551,2025/11/25,632,
1661630971,2025/11/25,616,
1552013869,2025/11/25,742,
1612204176,2025/11/25,656,
1505512067,2025/11/25,714,
1411319330,2025/11/25,706,
1608309632,2025/11/25,500,
1593212467,2025/11/25,702,
0861265099,2025/11/25,684,
0865887617,2025/11/25,668,
1525410985,2025/11/25,680,
1584523879,2025/11/25,688,
0870014671,2025/11/25,736,
1438512639,2025/11/25,734,
1477130658,2025/11/25,738,
1664426380,2025/11/25,664,
1492518950,2025/11/25,704,
0866268057,2025/11/25,712,
1618350952,2025/11/25,694,
1660408489,2025/11/25,616,
1628337240,2025/11/25,688,
1592903120,2025/11/25,632,
1652717681,2025/11/25,722,
1546767969,2025/11/25,678,
1390835944,2025/11/25,712,
1531212641,2025/11/25,664,
1391118695,2025/11/25,704,
1422047185,2025/11/25,824,
1485416379,2025/11/25,710,
1456906465,2025/11/25,694,
1495216723,2025/11/25,748,
1610781174,2025/11/25,638,
1498812946,2025/11/25,768,
1474413099,2025/11/25,720,
1396600768,2025/11/25,642,
1592411410,2025/11/25,670,
1517413925,2025/11/25,672,
1616890382,2025/11/25,740,
1516016745,2025/11/25,766,
1567011973,2025/11/25,630,
1599010333,2025/11/25,634,
1603555027,2025/11/25,526,
0868807315,2025/11/25,740,
1459604030,2025/11/25,682,
1584376826,2025/11/25,754,
1372481558,2025/11/25,722,
1498915302,2025/11/25,668,
1636312185,2025/11/25,582,
1507107049,2025/11/25,660,
1391042143,2025/11/25,754,
1589012996,2025/11/25,628,
1555412867,2025/11/25,672,
1352580394,2025/11/25,678,
1408170456,2025/11/25,564,
1466915952,2025/11/25,684,
1538713066,2025/11/25,620,
1587809628,2025/11/25,650,
1457419407,2025/11/25,566,
1562916754,2025/11/25,562,
1505415825,2025/11/25,604,
1586708502,2025/11/25,640,
1609415905,2025/11/25,658,
0873108377,2025/11/25,592,
1438220947,2025/11/25,696,
1585810879,2025/11/25,598,
1462120800,2025/11/25,624,
1401525192,2025/11/25,678,
1591512699,2025/11/25,574,
1612311676,2025/11/25,650,
1639492396,2025/11/25,585,
1448519697,2025/11/25,584,
1441920148,2025/11/25,642,
1432835499,2025/12/25,662,
1374433876,2025/12/25,612,
1658837765,2025/12/25,646,
1604422434,2025/12/25,662,
1668904419,2025/12/25,668,
1354897551,2025/12/25,660,
1661630971,2025/12/25,660,
0866268057,2025/12/25,770,
1618350952,2025/12/25,734,
1660408489,2025/12/25,656,
1628337240,2025/12/25,728,
1592903120,2025/12/25,650,
1546767969,2025/12/25,728,
1390835944,2025/12/25,756,
1531212641,2025/12/25,686,
1391118695,2025/12/25,730,
1422047185,2025/12/25,880,
1485416379,2025/12/25,766,
1456906465,2025/12/25,746,
1495216723,2025/12/25,796,
1610781174,2025/12/25,688,
1498812946,2025/12/25,832,
1474413099,2025/12/25,706,
1396600768,2025/12/25,688,
1592411410,2025/12/25,700,
1517413925,2025/12/25,690,
1616890382,2025/12/25,778,
1516016745,2025/12/25,812,
1567011973,2025/12/25,662,
1603555027,2025/12/25,572,
0868807315,2025/12/25,794,
1459604030,2025/12/25,714,
1584376826,2025/12/25,788,
1372481558,2025/12/25,740,
1636312185,2025/12/25,618,
1507107049,2025/12/25,770,
1391042143,2025/12/25,784,
1589012996,2025/12/25,630,
1555412867,2025/12/25,718,
1466915952,2025/12/25,716,
1538713066,2025/12/25,668,
1587809628,2025/12/25,670,
1457419407,2025/12/25,602,
1562916754,2025/12/25,614,
1505415825,2025/12/25,544,
1609415905,2025/12/25,716,
0873108377,2025/12/25,632,
1438220947,2025/12/25,774,
1585810879,2025/12/25,670,
1462120800,2025/12/25,676,
1401525192,2025/12/25,696,
1591512699,2025/12/25,618,
1612311676,2025/12/25,652,
1396102170,2025/12/25,614,
1589807998,2025/12/25,598,
1639492396,2025/12/25,652,
1448519697,2025/12/25,628,
1486819971,2025/12/25,592,
1462616662,2025/12/25,754,
1386523183,2025/12/25,568,
1441920148,2025/12/25,670,
1634891743,2025/12/25,616,
1498812731,2025/12/25,724,
1364079961,2025/12/25,688,
1488715240,2025/12/25,588,
1440617872,2025/12/25,640,
1404221367,2025/12/25,730,
1370900877,2025/12/25,668,
1479116179,2025/12/25,638,
1407105398,2025/12/25,624,
1498812656,2025/12/25,766,
1663813280,2025/12/25,542,
1440617261,2025/12/25,558,
0867133958,2025/12/25,612,
1576114511,2025/12/25,632,
1667959342,2025/12/25,578,
1539114756,2025/12/25,628,
1479824036,2025/12/25,548,
1545807871,2025/12/25,650,
1556411968,2025/12/25,578,
1455814884,2025/12/25,712,
1384322863,2025/12/25,646,
1382423890,2025/12/25,716,
1483015284,2025/12/25,690,
1672121154,2025/12/25,570,
1422098743,2025/12/25,614,
1392281794,2025/12/25,650,
0865491401,2025/12/25,586,
1479116001,2025/12/25,606,
1548009500,2025/12/25,710,
1436117034,2025/12/25,582,
1452817116,2025/12/25,658,
1587013056,2025/12/25,636,
0871038355,2025/12/25,664,
1655985643,2025/12/25,560,
1662602755,2025/12/25,616,
1548205773,2025/12/25,,
1617906662,2025/12/25,,
1368848488,2025/12/25,,
1389231092,2025/12/25,,
1458918848,2025/12/25,,
1557411622,2025/12/25,,
1619325508,2025/12/25,,
1569813698,2025/12/25,,
1388426642,2025/12/25,,
0857370370,2025/12/25,,
1486230400,2025/12/25,,
1496217200,2025/12/25,,
1522603441,2025/12/25,,
1468652510,2025/12/25,,
1557625340,2025/12/25,,
1669904760,2025/12/25,584,
0871964913,2025/12/25,620,
1542323848,2025/12/25,570,
1526703550,2025/12/25,,
1502214575,2025/12/25,,
1646107900,2025/12/25,,
1672210056,2025/12/25,,
1386242299,2025/12/25,,
1372832947,2025/12/25,,
1611535196,2025/12/25,,
1669904760,2026/1/23,656,
1542323848,2026/1/23,596,
1658837765,2026/1/23,706,
1628337240,2026/1/23,784,
1592903120,2026/1/23,662,
1390835944,2026/1/23,778,
1531212641,2026/1/23,738,
1456906465,2026/1/23,804,
1495216723,2026/1/23,822,
1610781174,2026/1/23,702,
1498812946,2026/1/23,868,
1474413099,2026/1/23,786,
1396600768,2026/1/23,720,
1592411410,2026/1/23,702,
1517413925,2026/1/23,718,
1616890382,2026/1/23,792,
1516016745,2026/1/23,834,
1567011973,2026/1/23,692,
1603555027,2026/1/23,578,
0868807315,2026/1/23,816,
1459604030,2026/1/23,740,
1584376826,2026/1/23,838,
1372481558,2026/1/23,778,
1636312185,2026/1/23,644,
1507107049,2026/1/23,816,
1391042143,2026/1/23,780,
1589012996,2026/1/23,674,
1555412867,2026/1/23,716,
1466915952,2026/1/23,788,
1538713066,2026/1/23,708,
1587809628,2026/1/23,738,
1457419407,2026/1/23,644,
1562916754,2026/1/23,650,
1505415825,2026/1/23,662,
1609415905,2026/1/23,770,
0873108377,2026/1/23,690,
1438220947,2026/1/23,762,
1585810879,2026/1/23,738,
1462120800,2026/1/23,724,
1591512699,2026/1/23,650,
1612311676,2026/1/23,660,
1396102170,2026/1/23,642,
1589807998,2026/1/23,658,
1639492396,2026/1/23,680,
1448519697,2026/1/23,682,
1486819971,2026/1/23,596,
1462616662,2026/1/23,786,
1441920148,2026/1/23,716,
1634891743,2026/1/23,606,
1498812731,2026/1/23,744,
1364079961,2026/1/23,656,
1488715240,2026/1/23,660,
1440617872,2026/1/23,660,
1404221367,2026/1/23,792,
1370900877,2026/1/23,696,
1479116179,2026/1/23,610,
1407105398,2026/1/23,588,
1498812656,2026/1/23,772,
1663813280,2026/1/23,588,
1440617261,2026/1/23,604,
0867133958,2026/1/23,664,
1576114511,2026/1/23,702,
1667959342,2026/1/23,594,
1539114756,2026/1/23,652,
1479824036,2026/1/23,578,
1545807871,2026/1/23,718,
1556411968,2026/1/23,558,
1455814884,2026/1/23,730,
1384322863,2026/1/23,736,
1382423890,2026/1/23,790,
1483015284,2026/1/23,712,
1672121154,2026/1/23,626,
1422098743,2026/1/23,644,
1392281794,2026/1/23,640,
0865491401,2026/1/23,530,
1479116001,2026/1/23,640,
1548009500,2026/1/23,752,
1436117034,2026/1/23,576,
1452817116,2026/1/23,690,
1587013056,2026/1/23,628,
1496217200,2026/1/23,596,
0871038355,2026/1/23,730,
1522603441,2026/1/23,588,
1526703550,2026/1/23,668,
1655985643,2026/1/23,620,
1468652510,2026/1/23,688,
1557625340,2026/1/23,588,
1662602755,2026/1/23,664,
1548205773,2026/1/23,698,
1617906662,2026/1/23,566,
1368848488,2026/1/23,672,
1389231092,2026/1/23,658,
1458918848,2026/1/23,752,
1557411622,2026/1/23,634,
1619325508,2026/1/23,662,
1569813698,2026/1/23,612,
1388426642,2026/1/23,736,
0857370370,2026/1/23,642,
1486230400,2026/1/23,542,
1502214575,2026/1/23,584,
1646107900,2026/1/23,694,
1672210056,2026/1/23,560,
1386242299,2026/1/23,602,
1372832947,2026/1/23,630,
1611535196,2026/1/23,664,
1643149224,2026/1/23,,
1609750051,2026/1/23,,
1389162891,2026/1/23,,
1408170111,2026/1/23,,
1670200448,2026/1/23,,
1538530526,2026/1/23,,
1448322136,2026/1/23,,
1616313140,2026/1/23,,
0869225712,2026/1/23,,
1415219704,2026/1/23,,
1352191743,2026/1/23,,
1603520216,2026/1/23,,
1406527542,2026/1/23,,
1460221042,2026/1/23,,
1616845092,2026/1/23,,
1668727001,2026/1/23,,
1613004331,2026/1/23,,
1653009860,2026/1/23,,
1388030214,2026/1/23,,
1550813171,2026/1/23,,
1491416257,2026/1/23,,
1633143263,2026/1/23,,
1561915130,2026/1/23,,
0871869119,2026/1/23,,
1685209962,2026/1/23,,
1625007504,2026/1/23,,
1435619850,2026/1/23,,
1584525156,2026/1/23,,
1521212880,2026/1/23,,
1463706157,2026/1/23,,
0870535411,2026/1/23,,
1619809046,2026/1/23,,
